Quarter,Group,customer_category,Product_Class,Stock,Profit_Margin
2020Q1,Const Supplies CS/SD,Better,ELETAP,N,32.22222222222223
2020Q1,Const Supplies CS/SD,Better,ELETAP,Y,26.74418604651163
2020Q1,Const Supplies CS/SD,Better,EQUCOM,N,35.058430717863104
2020Q1,Const Supplies CS/SD,Better,EQUFAN,N,19.99503845199703
2020Q1,Const Supplies CS/SD,Better,EQUGEN,N,12.438017214215824
2020Q1,Const Supplies CS/SD,Better,EQUJAC,N,20.0
2020Q1,Const Supplies CS/SD,Better,EQUJAC,Y,26.41509433962264
2020Q1,Const Supplies CS/SD,Better,EQULIG,N,30.232558139534884
2020Q1,Const Supplies CS/SD,Better,EQULIG,Y,35.90851791824239
2020Q1,Const Supplies CS/SD,Better,EQUMIS,N,20.0
2020Q1,Const Supplies CS/SD,Better,EQUMIS,Y,34.806169237182154
2020Q1,Const Supplies CS/SD,Better,FASANC,N,27.659090909090914
2020Q1,Const Supplies CS/SD,Better,FASBOL,N,29.349060353148246
2020Q1,Const Supplies CS/SD,Better,FASBOL,Y,48.60655737704919
2020Q1,Const Supplies CS/SD,Better,FASHIN,N,26.41366419404215
2020Q1,Const Supplies CS/SD,Better,FASMIS,N,35.00101688021151
2020Q1,Const Supplies CS/SD,Better,HANADP,N,24.94448556624722
2020Q1,Const Supplies CS/SD,Better,HANADP,Y,27.947598253275117
2020Q1,Const Supplies CS/SD,Better,HANBAG,N,21.801405975395443
2020Q1,Const Supplies CS/SD,Better,HANBAG,Y,22.15367358384744
2020Q1,Const Supplies CS/SD,Better,HANBAR,N,24.416666666666668
2020Q1,Const Supplies CS/SD,Better,HANBAR,Y,34.55445544554455
2020Q1,Const Supplies CS/SD,Better,HANBIT,N,18.52012527165605
2020Q1,Const Supplies CS/SD,Better,HANBIT,Y,29.92700729927008
2020Q1,Const Supplies CS/SD,Better,HANBOX,N,15.991315372108453
2020Q1,Const Supplies CS/SD,Better,HANBOX,Y,23.12925170068027
2020Q1,Const Supplies CS/SD,Better,HANBUL,N,30.041063839946517
2020Q1,Const Supplies CS/SD,Better,HANBUL,Y,23.509677419354844
2020Q1,Const Supplies CS/SD,Better,HANCCT,N,18.85558583106268
2020Q1,Const Supplies CS/SD,Better,HANCHI,N,19.10669975186105
