,Year,Group,Product_Class,customer_category,Profit_Margin,Product Class,Category,Target Margin,Margin Difference(%)
705,2020,Const Supplies CS/SD,SAFTAP,Best,22.88135593220339,SAFTAP,Best,34.0,-11.118644067796609
708,2020,Const Supplies CS/SD,SAFTAR,Best,25.472225147381568,SAFTAR,Best,34.0,-8.527774852618432
711,2020,Const Supplies CS/SD,SAFVES,Best,25.004703668861712,SAFVES,Best,34.0,-8.995296331138288
1086,2021,Const Supplies CS/SD,ABRBEL,Best,25.521432681242807,ABRBEL,Best,34.0,-8.478567318757193
1089,2021,Const Supplies CS/SD,ABRBEN,Best,30.832132365301938,ABRBEN,Best,34.0,-3.1678676346980623
1092,2021,Const Supplies CS/SD,ABRCAR,Best,10.930232558139535,ABRCAR,Best,34.0,-23.069767441860463
1093,2021,Const Supplies CS/SD,ABRCON,Best,22.249200175445388,ABRCON,Best,34.0,-11.750799824554612
1098,2021,Const Supplies CS/SD,ABRCUT,Best,25.350609756097562,ABRCUT,Best,34.0,-8.649390243902438
1100,2021,Const Supplies CS/SD,ABRFLD,Best,24.60732984293194,ABRFLD,Best,34.0,-9.39267015706806
1103,2021,Const Supplies CS/SD,ABRFLW,Best,24.99306518723994,ABRFLW,Best,34.0,-9.006934812760061
1107,2021,Const Supplies CS/SD,ABRHAN,Best,35.29411764705882,ABRHAN,Best,34.0,1.294117647058819
1110,2021,Const Supplies CS/SD,ABRMAN,Best,22.97085710961312,ABRMAN,Best,34.0,-11.02914289038688
1113,2021,Const Supplies CS/SD,ABRMIS,Best,24.073033285636306,ABRMIS,Best,34.0,-9.926966714363694
1116,2021,Const Supplies CS/SD,ABRPAD,Best,16.583147742078403,ABRPAD,Best,34.0,-17.416852257921597
1119,2021,Const Supplies CS/SD,ABRRFD,Best,27.57142857142857,ABRRFD,Best,34.0,-6.428571428571431
1122,2021,Const Supplies CS/SD,ABRROL,Best,39.588171464480205,ABRROL,Best,34.0,5.5881714644802045
1125,2021,Const Supplies CS/SD,ABRSAN,Best,33.720930232558146,ABRSAN,Best,34.0,-0.27906976744185386
1131,2021,Const Supplies CS/SD,BRUBRO,Best,18.34167212784191,BRUBRO,Best,38.0,-19.65832787215809
1134,2021,Const Supplies CS/SD,BRUHAN,Best,14.043417026011964,BRUHAN,Best,34.0,-19.956582973988034
1137,2021,Const Supplies CS/SD,BRUMIS,Best,17.48477520285856,BRUMIS,Best,38.0,-20.51522479714144
1140,2021,Const Supplies CS/SD,BRUPAI,Best,25.555808915745068,BRUPAI,Best,38.0,-12.444191084254932
1143,2021,Const Supplies CS/SD,BRUTUB,Best,25.794232051567015,BRUTUB,Best,34.0,-8.205767948432985
1146,2021,Const Supplies CS/SD,CHEABS,Best,26.101480364873225,CHEABS,Best,34.0,-7.898519635126775
1149,2021,Const Supplies CS/SD,CHEADH,Best,28.82969587995128,CHEADH,Best,34.0,-5.170304120048719
1152,2021,Const Supplies CS/SD,CHECAU,Best,22.645403377110696,CHECAU,Best,34.0,-11.354596622889304
1155,2021,Const Supplies CS/SD,CHECHA,Best,17.015934608309088,CHECHA,Best,34.0,-16.984065391690912
1158,2021,Const Supplies CS/SD,CHECLE,Best,25.000000000000004,CHECLE,Best,34.0,-8.999999999999996
1161,2021,Const Supplies CS/SD,CHECOO,Best,48.51389819156061,CHECOO,Best,34.0,14.513898191560607
1164,2021,Const Supplies CS/SD,CHELAY,Best,25.364277320799054,CHELAY,Best,34.0,-8.635722679200946
